sent_at,sport,matchup,commence_time,market,selection,point,book,odds,pinnacle_fair_odds,ev_pct,kelly_pct,stake_amount,result,pnl
2026-09-06 13:43:49,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Betfair,26.0,6.747,285.36,2.85,28.54,,
2026-09-06 13:43:49,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Matchbook,24.0,6.747,255.72,2.78,27.8,,
2026-09-06 13:43:49,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,BoyleSports,23.0,6.747,240.9,2.74,27.37,,
2026-09-06 13:43:49,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Smarkets,22.99,6.747,240.75,2.74,27.37,,
2026-09-06 13:43:49,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Tipico,22.0,6.747,226.07,2.69,26.91,,
2026-09-06 13:52:34,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Betfair,30.0,6.747,344.65,2.97,29.71,,
2026-09-06 13:52:34,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Unibet (UK),29.0,6.747,329.82,2.94,29.45,,
2026-09-06 13:52:34,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Coolbet,28.0,6.747,315.0,2.92,29.17,,
2026-09-06 13:52:34,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,Sky Bet,26.0,6.747,285.36,2.85,28.54,,
2026-09-06 13:52:34,FOOTBALL/ITALY SERIE A,Venezia @ Frosinone,2026-09-06T13:00:00Z,h2h,Venezia,,DraftKings,26.0,6.747,285.36,2.85,28.54,,
2026-09-06 13:59:27,FOOTBALL/SPAIN LA LIGA,Barcelona @ Levante,2026-09-13T14:15:00Z,h2h,Levante,,1xBet,12.4,8.521,45.53,1.0,9.98,,
2026-09-06 13:59:27,FOOTBALL/SPAIN LA LIGA,Barcelona @ Levante,2026-09-13T14:15:00Z,h2h,Levante,,Marathon Bet,12.25,8.521,43.77,0.97,9.73,,
2026-09-06 13:59:27,FOOTBALL/UEFA CHAMPS LEAGUE,Sabah FK @ Manchester United,2026-09-10T19:00:00Z,h2h,Draw,,Coolbet,10.0,6.958,43.72,1.21,12.14,,
2026-09-06 13:59:27,FOOTBALL/ITALY SERIE A,Parma @ Como,2026-09-14T16:30:00Z,h2h,Parma,,Betfair,16.0,11.194,42.93,0.72,7.16,,
2026-09-06 13:59:27,FOOTBALL/ITALY SERIE A,Parma @ Como,2026-09-14T16:30:00Z,h2h,Parma,,Betfair,16.0,11.194,42.93,0.72,7.16,,
2026-09-06 14:13:42,FOOTBALL/GERMANY BUNDESLIGA,FSV Mainz 05 @ Hamburger SV,2026-09-06T13:30:00Z,h2h,Hamburger SV,,Matchbook,44.0,10.572,316.21,1.84,18.38,,
2026-09-06 14:13:42,FOOTBALL/GERMANY BUNDESLIGA,FSV Mainz 05 @ Hamburger SV,2026-09-06T13:30:00Z,h2h,Hamburger SV,,Coolbet,36.0,10.572,240.54,1.72,17.18,,
2026-09-06 14:13:42,FOOTBALL/GERMANY BUNDESLIGA,FSV Mainz 05 @ Hamburger SV,2026-09-06T13:30:00Z,h2h,Hamburger SV,,Smarkets,35.97,10.572,240.25,1.72,17.18,,
2026-09-06 14:13:42,FOOTBALL/GERMANY BUNDESLIGA,FSV Mainz 05 @ Hamburger SV,2026-09-06T13:30:00Z,h2h,Hamburger SV,,Sky Bet,34.0,10.572,221.62,1.68,16.79,,
2026-09-06 14:13:42,FOOTBALL/GERMANY BUNDESLIGA,FSV Mainz 05 @ Hamburger SV,2026-09-06T13:30:00Z,h2h,Hamburger SV,,BoyleSports,34.0,10.572,221.62,1.68,16.79,,
2026-09-06 14:29:00,FOOTBALL/EPL,Manchester United @ Everton,2026-09-06T13:00:00Z,h2h,Manchester United,,Smarkets,2.16,1.384,56.09,3.0,30.0,,
2026-09-06 14:29:00,FOOTBALL/UEFA CHAMPS LEAGUE,Bodø/Glimt @ Bayern Munich,2026-09-10T19:00:00Z,h2h,Bodø/Glimt,,Betsson,25.0,18.127,37.91,0.39,3.95,,
2026-09-06 14:29:00,FOOTBALL/UEFA CHAMPS LEAGUE,Bodø/Glimt @ Bayern Munich,2026-09-10T19:00:00Z,h2h,Bodø/Glimt,,Nordic Bet,25.0,18.127,37.91,0.39,3.95,,
2026-09-06 14:29:00,FOOTBALL/GERMANY BUNDESLIGA,Bayern Munich @ Elversberg,2026-09-13T15:30:00Z,h2h,Elversberg,,Coolbet,14.0,10.341,35.39,0.68,6.81,,
2026-09-06 14:29:00,FOOTBALL/GERMANY BUNDESLIGA,Bayern Munich @ Elversberg,2026-09-13T15:30:00Z,h2h,Elversberg,,Unibet (SE),14.0,10.341,35.39,0.68,6.81,,
